id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,formations,competences,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,nombrePostes,accessibleTH,qualificationCode,qualificationLibelle,codeNAF,secteurActivite,secteurActiviteLibelle,qualitesProfessionnelles,offresManqueCandidats,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.entrepriseAdaptee,salaire.libelle,contact.nom,contact.coordonnees1,contact.coordonnees2,contact.coordonnees3,agence.courriel,origineOffre.origine,origineOffre.urlOrigine,origineOffre.partenaires,entreprise.description,complementExercice,deplacementCode,deplacementLibelle,salaire.commentaire,salaire.complement1,entreprise.logo,entreprise.url,experienceCommentaire,langues,permis,contact.courriel,salaire.complement2
150ZFHB,Opérateur régleur / Opératrice régleuse sur machines-outils à commande numérique de production par enlèvement de métal (H/F),"Entreprise familiale recherche opérateur/ opératrice polyvalent.e
vos missions seront:
- Lire un plan
- Préparer l'outillage nécessaire et la machine
- Assister au lancement de la production
- Suivre la production avec contrôle dimensionnel des pièces
- Contrôler l'usure des outils
- Gestion des correcteurs

Travail en journée, 8h-12h 14h-18h du lundi au vendredi, semaine de 39 heures.
Salaire négociable suivant expérience

Formation interne prévue
Ouvert aux personnes souhaitant une alternance.",2023-03-16T15:28:01.000Z,2023-12-18T08:47:31.000Z,H2903,Conduite d'équipement d'usinage,Opérateur(trice) régleur(se) sur machines-outils à CN,CDD,Contrat à durée déterminée - 6 Mois,Contrat travail,D,Débutant accepté,"[{'niveauLibelle': 'Bac ou équivalent', 'commentaire': 'BAC PRO ou BEP USINAGE', 'exigence': 'E'}]","[{'code': '100822', 'libelle': ""Techniques d'usinage"", 'exigence': 'S'}, {'code': '300135', 'libelle': 'Monter et régler une installation, une machine', 'exigence': 'S'}, {'code': '300175', 'libelle': ""Piloter la gestion de la production, de l'exploitation"", 'exigence': 'S'}, {'code': '300178', 'libelle': 'Réaliser des corrections ou réparations sur un ouvrage', 'exigence': 'S'}, {'code': '300185', 'libelle': 'Réaliser un diagnostic technique', 'exigence': 'S'}, {'code': '300256', 'libelle': ""Contrôler la qualité et la conformité d'un livrable"", 'exigence': 'S'}]",39H Travail en journée,Temps plein,False,1,False,3,"Ouvrier qualifié (P1,P2)",25.62B,25,Mécanique industrielle,"[{'libelle': ""S'adapter aux changements"", 'description': ""Capacité à s'adapter à des situations variées, à réagir à l'imprévu, gérer l'incertitude pour s'ajuster à des organisations, des collectifs de travail, des habitudes, des valeurs propres à l'entreprise.""}, {'libelle': 'Faire preuve de réactivité', 'description': ""Capacité à réagir rapidement face à des évènements et à des imprévus, en hiérarchisant les actions, en fonction de leur degré d'urgence / d'importance.""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",True,31 - LA SALVETAT LAURAGAIS,43.541986,1.795781,31460,31527,ETABLISSEMENT GILBERT BARBASTE SARL,False,"Mensuel de 1960,00 Euros à 1960,00 Euros sur 12 mois",Pôle Emploi VILLEFRANCHE DE LAURAGAIS,Avenue de Toulouse 7 PLACE DES CERISIERS,31290 VILLEFRANCHE DE LAURAGAIS,"Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/150ZFHB","Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/150ZFHB",1,https://candidat.pole-emploi.fr/offres/recherche/detail/150ZFHB,,,,,,,,,,,,,,
1324145,"""Technicien d'élevage F-H"" (H/F)","""""""Poste sur le secteur de Ploërmel : Vous interviendrez sur l'atelier maternité. /r/nVous êtes expérimenté(e) et formé(e) en élevage. /r/nVous êtes motivé(e), sérieux(se) et avez le sens des responsabilités. Permanence un week-end sur trois. Poste à pourvoir dès accord""""""",2023-03-17T06:40:20.000Z,2023-11-17T02:51:23.000Z,A1301,Conseil et assistance technique en agriculture et environnement naturel,Technicien laitier / Technicienne laitière,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,False,1,False,,,,,,,,56 - GUILLIERS,48.047044,-2.411017,56490,56080,,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1324145,"[{'nom': 'ANEFA', 'url': 'https://www.lagriculture-recrute.org/rechercher/offres/39230', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/anefa80.png'}]",,,,,,,,,,,,,
1305661,Chef de Chantier H/F,"POSTE : Chef de Chantier H/F
DESCRIPTION : Poste et Missions :

Rattaché(e) au Responsable des départements Montages et Service et en relation avec les conducteurs de travaux et les chargés d'affaires, le Chef de chantier accompagne le personnel dans toutes les phases des chantiers de construction développés par COMETE J. PARIS.

En relation avec tous les intervenants, vous aurez pour principales missions de :
-  Faire des relevés sur site,
-  Planifier et coordonner les actions de montage mécanique/d'implantation de pièces sur structure métallique de grande dimension avec l'équipe travaux,
-  Réaliser des opérations de levage de grande capacité
-  Exécuter du serrage contrôlé
-  Réaliser du lignage moteur
-  Remplir les documents de chantier (Cahier journalier, feuille de présence, plan de prévention)
-  Travailler en lien avec le conducteur de travaux et le BE pour réaliser et modifier les plans d'exécution (dessins et nomenclatures d'exécution),
-  Doté d'un esprit de synthèse, vous réaliserez les rapports d'intervention.

En tant que superviseur de travaux, vous aurez à :
-  Assurer le suivi et la supervision des travaux en local,
-  Assurer la suffisance des moyens matériel et humain mis en oeuvre en partenariat avec le conducteur de travaux,
-  Respecter les procédures de sécurité et le suivi de planning de réalisation : devoir d'information en cas de dérive,
-  Être un relai pour le conducteur de travaux dans sa mission de suivi.

L'ensemble des activités du poste s'effectue dans le plus strict respect des procédures et consignes de sécurité dans le cadre de nos procédures QHSSE.

Conformément à nos engagements sociétaux et à notre approche en faveur de l'emploi des travailleurs en situation de handicap, ce poste est ouvert à tout profil possédant les compétences requises.
PROFIL : De formation Bac +2 à Bac +3, vous justifiez de 5 à 8 ans d'expérience dans le milieu industriel, de la construction métallique sur des équipements lourds. Vos compétences en mécanique sont reconnues, des expériences en électricité, tuyauterie, ou hydraulique constituent des « plus ». Idéalement, vous êtes habilité à intervenir en environnement nucléaire (HN2, RP2).

Pragmatique et rigoureux(se), vous êtes organisé et avez le sens des priorités. Doté(e) d'excellentes capacités d'analyse, votre relationnel et votre dynamisme vous permettront de réussir pleinement dans notre entreprise.

Des déplacements très réguliers voire permanents sont à prévoir (Grands Déplacements).

Fourgon de chantier équipé pour assurer la réactivité des interventions sur le territoire national ou régional.

Rémunération selon votre profil et votre expérience professionnelle

Renseignements complémentaires : @.**",2023-03-17T02:49:38.000Z,2023-11-16T12:11:04.000Z,F1202,Direction de chantier du BTP,Chef de chantier du BTP,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,False,1,False,8,Agent de maîtrise,25.11Z,25,Fabrication de structures métalliques et de parties de structures,,,44 - NANTES,47.232046,-1.548204,44000,44109,,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1305661,"[{'nom': 'DIRECTEMPLOI', 'url': 'https://www.directemploi.com/candidatOffre/32616476?utm_source=pole-emploi&utm_medium=referral&utm_campaign=P%C3%B4le-Emploi', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/directemploi80.png'}]","Rejoindre le groupe FAYAT, c'est participer à une aventure collective, dans des entreprises à taille humaine au sein d'un groupe de dimension internationale (env. 22.000 pers, 4mds€ de CA). Le groupe FAYAT valorise l'autonomie et le sens des responsabilités, avec un management de proximité fondé sur la confiance.

Au sein du groupe FAYAT, le pôle Fayat Lifting Solutions propose une offre globale d'équipements et de services dans le domaine de la manutention et du levage, a...",,,,,,,,,,,,
1304223,homme-femme de ménage F/H - VIVASERVICES - St Quentin- en-Yvelines (H/F),"VIVASERVICES Saint-Quentin-en-Yvelines recrute des assistant.e.s ménager.e.s / Aide ménager.e / Employé.e de maison/ Femme-homme de ménage en CDI sur le secteur de Guyancourt, Montigny-le-Bretonneux, Voisins-le-Bretonneux.
 
 
 
VOTRE MISSION :
  
- Entretien du logement de nos clients : ménage, repassage, lavage de vitres, dépoussiérage, désinfection des surfaces, entretien du linge, etc. 
- Interventions toutes les semaines chez les mêmes clients 
- Planning aménageable selon vos disponibilités 
- Missions régulières à proximité de votre domicile 
- Formation, accompagnement et suivi régulier 
 
Nos locaux sont situés au 2 rue Eugène Pottier à Trappes.

Profil
  
- Poste à pourvoir immédiatement 
- Expérimenté ou non, car possibilité de formation interne 
- Temps partiel à définir selon vos disponibilités (étudiants, retraités, autres)",2023-03-16T21:41:29.000Z,2024-01-09T10:55:30.000Z,K1304,Services domestiques,Aide ménager / ménagère à domicile,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,15 H,Temps partiel,False,1,False,,,81.21Z,81,Nettoyage courant des bâtiments,,,78 - GUYANCOURT,48.772925,2.069679,78280,78297,VIVASERVICES - St Quentin- en-Yvelines,False,"Autre de 11,55 Euros à 12,00 Euros",,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1304223,"[{'nom': 'WE_RECRUIT', 'url': 'https://emploi.vivaservices.fr/fr/offres/homme-femme-de-menage-1fd219/PoleEmploi', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/we_recruit80.png'}]","Soyons fiers de notre métier !
 
Chez VIVASERVICES, nous savons qu'une personne épanouie dans son travail, c'est l'assurance d'un client satisfait et d'une collaboration de long terme.
 
Vous voulez rejoindre une équipe à taille humaine, à votre écoute et qui vous accompagnera au quotidien dans votre métier ? Vous recherchez un travail proche de votre domicile, adapté à vos disponibilités ?
 
Alors n'attendez plus et rejoignez-nous ! Envoyez-nous...",,,,,,,,,,,,
1301750,TECHNICIEN ITINÉRANT (29) - H/F,"Description :


Vous prenez  en charge la mise en service et le SAV des accès FTTH et ADSL des abonnés Free.Vous utilisez votre aisance professionnelle afin de conseiller, dépanner et assister les freenautes. Vous partagez vos connaissances des technologies on-line en participant à de nouveaux défis techniques.Sur l'ensemble d'un secteur défini, le technicien  Itinérant / la technicienne itinérante a en charge de :Effectuer les interventions SAV visant à restaurer ou à assurer la bonne marche des services au domicile des abonnésEffectuer les tests de bon fonctionnement sur nos équipements en salle de dégroupageRéaliser en escalade les expertises de ligne conjointement avec des techniciens de l'opérateur historique  
  
  
Profil recherché :
  
  
Vous aimez travailler en équipe et avez très bon relationnel ;Idéalement, vous avez des connaissances dans les domaines de l'électronique, de l'informatique ou du réseau permettant de valoriser votre candidature. Toutefois, si vous êtes novice mais désireux d'apprendre, nous mettons en place un parcours de formation adaptée ;Vous êtes à l'aise avec le matériel informatique et/ou électronique ;Vous êtes perspicace et avez bon un esprit d'analyse.Ce sont autant d'atouts permettant de répondre à notre objectif de fournir un service d'excellence à nos abonnés.",2023-03-16T20:30:37.000Z,2023-12-28T20:30:35.000Z,I1307,Installation et maintenance télécoms et courants faibles,Technicien / Technicienne en télécommunications,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,Temps plein,,False,1,False,,,61.10Z,61,Télécommunications filaires,,,29 - DOUARNENEZ,-4.331124,48.094445,29100,29046,Iliad,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1301750,"[{'nom': 'SOFTY', 'url': 'https://free.softy.pro/offre/68344?idt=5&h=683442', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/softy80.png'}]",,Temps plein,,,,,,,,,,,
1301749,TECHNICIEN ITINÉRANT (29) - H/F,"Description :


Vous prenez  en charge la mise en service et le SAV des accès FTTH et ADSL des abonnés Free.Vous utilisez votre aisance professionnelle afin de conseiller, dépanner et assister les freenautes. Vous partagez vos connaissances des technologies on-line en participant à de nouveaux défis techniques.Sur l'ensemble d'un secteur défini, le technicien  Itinérant / la technicienne itinérante a en charge de :Effectuer les interventions SAV visant à restaurer ou à assurer la bonne marche des services au domicile des abonnésEffectuer les tests de bon fonctionnement sur nos équipements en salle de dégroupageRéaliser en escalade les expertises de ligne conjointement avec des techniciens de l'opérateur historique  
  
  
Profil recherché :
  
  
Vous aimez travailler en équipe et avez très bon relationnel ;Idéalement, vous avez des connaissances dans les domaines de l'électronique, de l'informatique ou du réseau permettant de valoriser votre candidature. Toutefois, si vous êtes novice mais désireux d'apprendre, nous mettons en place un parcours de formation adaptée ;Vous êtes à l'aise avec le matériel informatique et/ou électronique ;Vous êtes perspicace et avez bon un esprit d'analyse.Ce sont autant d'atouts permettant de répondre à notre objectif de fournir un service d'excellence à nos abonnés.",2023-03-16T20:30:37.000Z,2023-12-28T20:30:35.000Z,I1307,Installation et maintenance télécoms et courants faibles,Technicien / Technicienne en télécommunications,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,,,Temps plein,,False,1,False,,,61.10Z,61,Télécommunications filaires,,,29 - CONCARNEAU,-3.922388,47.875701,29900,29039,Iliad,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1301749,"[{'nom': 'SOFTY', 'url': 'https://free.softy.pro/offre/68344?idt=5&h=683441', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/softy80.png'}]",,Temps plein,,,,,,,,,,,
1290088,Assistant / Assistante de direction (H/F),"Assistant de Direction BTP H/F
L'agence ABALONE TERTIAIRE recrute un-e Assistant-e de Direction BTP en CDI, pour un partenaire de la Tribu !
Qui sont-ils  
Notre partenaire, spécialisé en plomberie, sanitaire, chauffage, climatisation et ventilation, concentre ses activités en Loire-Atlantique et dans la région Pays de la Loire. 
L'entreprise évolue dans la construction de logements neufs, la réhabilitation de logements anciens, ainsi que dans la réalisation de bâtiments tertiaires, de résidences séniors et étudiants.
Les techniques nouvelles et énergies renouvelables sont au coeur de son métier.
L'équipe de Saint-Herblain, composée de sept collaborateurs, attend avec impatience sa nouvelle recrue !
Quel sera votre rôle  
Votre mission, si vous l'acceptez (promis, elle n'est pas impossible) :
Indispensable au bon fonctionnement de l'activité, vous serez le pivot de l'agence, en collaboration directe avec le Directeur de filiale.
Les missions suivantes vous seront confiées :
-Réception des appels
-Gestion de la boîte mail principale
-Gestion du courrier
-Collecte et enregistrement des appels d'offres
-Communication auprès des Economistes sur les dates de remise des appels d'offres
-Constitution des dossiers administratifs et techniques selon le règlement de consultation des appels d'offres
-Veille commerciale, et communication des informations liées à la remise des offres 
-Constitution de dossiers techniques de revue de transfert au service Travaux
-Enregistrement et classement des devis modificatifs (sur Excel)
-Agrément des sous-traitants
-Suivi administratif des chantiers
-Coordination inter services sur les sujets litigieux
Qu'avez-vous à gagner à rejoindre notre partenaire  
-Salaire fixe de 2000 à 2200EUR bruts pour 37.5 heures
-Une ambiance de travail agréable dans une petite structure
-Un Directeur disponible, empathique, qui transmet l'énergie de réussir !
Vous vous épanouirez sur ce poste grâce à votre curiosité, votre sens des priorités, et un attrait pour le secteur du bâtiment.
Profil :
Le profil idéal  
Vous êtes le / la candidat-e idéal-e si vous justifiez d'une première expérience réussie sur un poste similaire, et des qualités suivantes :
-Facultés d'anticipation et d'organisation
-Proactivité
-Autonomie
-Capacités d'adaptation
Et les contraintes  
-Travail le vendredi après-midi (2 jours de week-end quand même !)
 Chaque candidature sera étudiée avec attention.
Poste en CDI",2023-03-16T14:56:03.000Z,2024-01-02T13:27:56.000Z,M1604,Assistanat de direction,Assistant / Assistante de direction,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,,,,,False,1,False,,,,,,,,44 - ST HERBLAIN,47.227082,-1.625284,44800,44162,,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1290088,"[{'nom': 'OUESTFRANCE', 'url': 'https://www.ouestfrance-emploi.com/offre-d-emploi/assistant-de-direction-btp-h-f-11136203/?at_medium=affiliate&at_campaign=pole-emploi#lieu=19064', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/ouestfrance80.png'}]","Intérim, CDD-CDI, Formation, quelle que soit votre personnalité, vos compétences, on a un Job pour vous !
Vous ne connaissez pas Abalone   Remédions à cela. Si on avait un âge : 30 ans et 22 000 recrutements par an.
Si on avait une taille : aussi grande qu'un hexagone et au-delà ! 69 agences réparties en France et en Europe. Grand mais pas trop... service et proximité sont nos crédos.
Notre passion   Les ressources humaines, le recrutement... Échanger, découvrir,...",,,,,,,,,,,,
1289596,Technicien / Technicienne de Service Après-Vente -SAV- en informatique (H/F),"Technicien SAV H/F
Abalone Challans recherche un Technicien SAV Matériel d'élevage et d'installation de traite H/F 
Prise de poste : dès que possible
Lieu de travail : Campbon (44) et St Etienne de Mer Morte
Salaire: à négocier
Avantages : CSE, Intéressement, Participation, véhicule de service
Astreintes semaine et week-end sont à prévoir selon un planning établi par le responsable hiérarchique
-Vous intervenez pour résoudre les problèmes techniques sur votre secteur
-Vous assurez l'entretien préventif et curatif des matériels d'élevage et en particulier des robots de traite et installations conventionnelles
-Vous assurez, en lien avec l'équipe de montage, la mise en service des matériels
-Vous assurez le suivi, la gestion et l'optimisation des stocks de votre véhicule
Profil :
-Vous disposez idéalement d'une première expérience électro-mécanique sur chantier
-Vous connaissez la soudure, l'électricité, l'hydraulique et pneumatique de base
-Vous avez le sens pratique et savez répondre aux problèmes techniques simples
-Vous êtes organisé(e), autonome et avez le sens des responsabilités ainsi qu'un bon relationnel
-La connaissance du monde agricole serait un plus
-Vous êtes titulaire du Permis B
-Vous maîtrisez les outils informatiques -De formation Bac Pro / BTS Electro Technique / Maintenance industrielle
Poste en INTERIM",2023-03-16T14:53:56.000Z,2024-01-02T13:27:56.000Z,I1401,Maintenance informatique et bureautique,Technicien/Technicienne Service Après-Vente en informatique,MIS,Mission intérimaire - 60 Jour(s),Contrat travail,E,Expérience exigée,,,,,False,1,False,,,78.10Z,78,Activités des agences de placement de main-d'œuvre,,,85 - Vendée,,,,,,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1289596,"[{'nom': 'OUESTFRANCE', 'url': 'https://www.ouestfrance-emploi.com/offre-d-emploi/technicien-sav-h-f-11136204/?at_medium=affiliate&at_campaign=pole-emploi#lieu=585', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/ouestfrance80.png'}]","Intérim, CDD-CDI, Formation, quelle que soit votre personnalité, vos compétences, on a un Job pour vous !
Vous ne connaissez pas Abalone   Remédions à cela. Si on avait un âge : 30 ans et 22 000 recrutements par an.
Notre passion   Les ressources humaines, le recrutement... Échanger, découvrir, rencontrer...vous rencontrer.
Tous les postes proposés par Abalone sont ouverts aux personnes en situation de handicap.
Alors convaincu(e)   Et si vous partagiez l'aventure",,,,,,,,,,,,
1289275,Monteur / Monteuse de pièces (H/F),"Monteur H/F
Abalone Challans recherche des monteurs H/F pour son client 
Poste à pourvoir sur le secteur de St Etienne du Bois 
Pour du long terme au plus vite !! 
- lecture du plan de montage
- ajustement des éléments
- assemblage et solidarisation des pièces
- réalisation de tests de fonctionnement
- remontée des informations à la hiérarchie
Profil :
- savoir lire un plan de montage, même en anglais
- maîtriser les techniques d'assemblage
- savoir suivre des indications, et garder une marge d'improvisation si nécessaire
- aimer travailler de ses mains
 Etre bon bricoleur 
Poste en INTERIM",2023-03-16T14:52:39.000Z,2024-01-02T13:27:55.000Z,H2909,Montage-assemblage mécanique,Monteur / Monteuse de pièces,MIS,Mission intérimaire - 60 Jour(s),Contrat travail,D,Débutant accepté,,,,,False,1,False,,,78.10Z,78,Activités des agences de placement de main-d'œuvre,,,85 - Vendée,,,,,,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1289275,"[{'nom': 'OUESTFRANCE', 'url': 'https://www.ouestfrance-emploi.com/offre-d-emploi/monteur-h-f-11136193/?at_medium=affiliate&at_campaign=pole-emploi#lieu=585', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/ouestfrance80.png'}]","Intérim, CDD-CDI, Formation, quelle que soit votre personnalité, vos compétences, on a un Job pour vous !
Vous ne connaissez pas Abalone   Remédions à cela. Si on avait un âge : 30 ans et 22 000 recrutements par an.
Si on avait une taille : aussi grande qu'un hexagone et au-delà ! 69 agences réparties en France et en Europe. Grand mais pas trop... service et proximité sont nos crédos.
Notre passion   Les ressources humaines, le recrutement... Échanger, découvrir,...",,,,,,,,,,,,
1288417,Assistant administratif / Assistante administrative (H/F),"ASSISTANT ADMINISTRATIF POLYVALENT H/F
Votre agence ABALONE CHOLET recherche pour son client un ASSISTANT ADMINISTRATIF POLYVALENT H/F.
Vos missions seront les suivantes : 
- Assurer la gestion administrative et comptable des dossiers et le suivi des dossiers 
- Devis 
- Planning
- Tenue du standard 
- Gestion des boites mails 
- Gestion du personnel 
- Connaissance en paie
Poste en temps plein - Contrat INTERIM
Profil :
Votre profil :
- Rigueur 
- Adaptation 
- Réactivité 
- Autonomie
 Vous maîtrisez des outils informatiques et du Pack Office. Vous avez un sens de la relation et du service, un esprit collectif, curieux, qui a une capacité d'adaptation, et une faculté de passer rapidement d'un sujet à un autre.
Maintenant que vous savez tout, c'est à vous de jouer en nous envoyant votre candidature à cholet[a]abalone-emploi.fr
Poste en INTERIM",2023-03-16T14:49:17.000Z,2024-01-02T13:27:52.000Z,M1607,Secrétariat,Assistant administratif / Assistante administrative,MIS,Mission intérimaire - 20 Jour(s),Contrat travail,D,Débutant accepté,,,,,False,1,False,,,78.10Z,78,Activités des agences de placement de main-d'œuvre,,,79 - MAULEON,46.945384,-0.767179,79700,79079,,False,,,,,,,2,https://candidat.pole-emploi.fr/offres/recherche/detail/1288417,"[{'nom': 'OUESTFRANCE', 'url': 'https://www.ouestfrance-emploi.com/offre-d-emploi/assistant-administratif-polyvalent-h-f-11132397/?at_medium=affiliate&at_campaign=pole-emploi#lieu=35245', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/ouestfrance80.png'}]","Intérim, CDD-CDI, Formation, quelle que soit votre personnalité, vos compétences, on a un Job pour vous !
Vous ne connaissez pas Abalone   Remédions à cela. Si on avait un âge : 30 ans et 22 000 recrutements par an.
Si on avait une taille : aussi grande qu'un hexagone et au-delà ! 69 agences réparties en France et en Europe. Grand mais pas trop... service et proximité sont nos crédos.
Notre passion   Les ressources humaines, le recrutement... Échanger, découvrir,...",,,,,,,,,,,,
