id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,alternance,nombrePostes,accessibleTH,lieuTravail.libelle,entreprise.entrepriseAdaptee,origineOffre.origine,origineOffre.urlOrigine,origineOffre.partenaires,codeNAF,secteurActivite,secteurActiviteLibelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.description,dureeTravailLibelle,dureeTravailLibelleConverti,qualificationCode,qualificationLibelle,salaire.libelle,experienceCommentaire,formations,langues,competences,offresManqueCandidats,contact.nom,contact.coordonnees1,contact.coordonnees2,contact.coordonnees3,agence.courriel,permis,qualitesProfessionnelles,entreprise.url,salaire.commentaire,salaire.complement1
4214794,"""Conseil en emploi et insertion socioprofessionnelle"" (H/F)","""Missions :Sous la responsabilité de la directrice ingénierie de projet et sous la coordination opérationnelle de la cheffe de projet, le référent de parcours est en charge de l'accompagnement global de la bénéficiaire jusqu'à la mise à l'emploi et du maillage avec les partenaires et les diverses actions afin de fluidifier les parcours.Pour ce faire, vous devez :- Aller vers les femmes cheffes de familles monoparentales afin de les informer et de leur proposer l'accompagnement AVEC elles,- Accueillir les bénéficiaires identifiées,- Co-réaliser un diagnostic personnalisé en identifiant les freins et en proposant un plan d'action adapté,- Réaliser des entretiens individuels de suivi et d'accompagnement des bénéficiaires en présentiel et/ou en distanciel,- Co-animé des sessions et ateliers collectifs,- Orienter les bénéficiaires en fonction de leurs situations vers les ateliers et les partenaires adaptés,- Assurer un suivi administratif (notamment la saisie informatique) en lien avec les différents partenaires engagés dans l'accompagnement des bénéficiaires. """,2022-05-18T15:41:29.000Z,2023-10-24T19:19:57.000Z,K1801,Conseil en emploi et insertion socioprofessionnelle,Accompagnateur/Accompagnatrice reconversion professionnelle,CDD,Contrat à durée déterminée - 6 Mois,Contrat travail,S,Expérience souhaitée,False,1,False,91 - Essonne,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4214794,"[{'nom': 'MYMATCHUP', 'url': 'https://mymatchup.fr/offre-d-emploi/9370/conseiller-conseillere-en-insertion-professionnelle-evry-91000-2', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/mymatchup80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4214045,"""Conseil en emploi et insertion socioprofessionnelle"" (H/F)","""Missions : Recevoir le public en entretien, suivre un portefeuille actif de jeunes Etablir un diagnostic individuel sur la situation du public reçu Informer et aider à l'orientation du parcours d'insertion (emploi, formation, logement, aides sociales, mobilité.) Être référent dans un domaine spécifique Informer, recueillir la demande et orienter Assurer un suivi administratif, saisie dans le système d'information I-MILO, collecte de justificatifs, montage de dossiers participants et rédaction de bilans notamment.  """,2022-05-18T15:39:27.000Z,2023-10-24T19:19:58.000Z,K1801,Conseil en emploi et insertion socioprofessionnelle,Accompagnateur/Accompagnatrice reconversion professionnelle,CDD,Contrat à durée déterminée - 6 Mois,Contrat travail,S,Expérience souhaitée,False,1,False,91 - Essonne,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4214045,"[{'nom': 'MYMATCHUP', 'url': 'https://mymatchup.fr/offre-d-emploi/9369/conseiller-conseillere-en-insertion-professionnelle-evry-91000-1', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/mymatchup80.png'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164907,INFIRMIER DE (H/F),"Nous recherchons pour le compte de notre client un Infirmier (H/F) pour un établissement hospitalier en service de chirurgie polyvalente.Ce remplacement est à pourvoir de jour sur un roulement de 12 heures.
Vos tâches principales :
 - Soins préopératoires : administrer les prémédications,
 - Soins postopératoires selon les prescriptions médicales ou relevant de son rôle propre (médicaments, injections, pansements, surveillance des diurèses, sonde vésicale, change de redons, perfusion, injection, points de ponctions, prise des constantes, .)
 - Suivi de l'état du patient : ECG, télémétrie, surveillance régulière, visite avec les médecins, transmettre toute information nécessaire au médecin concernant l'état de santé du patient
 - Evaluer la douleur des patients en postopératoire
 - Respecter l'ordre des soins en cas de patient en isolement dans le service
 - Participer au retour à l'autonomie du patient
 - Répondre aux sonnettes
 - Assurer le suivi des soins prodigués au patient en procédant à la transtâche des informations à l'équipe de relève
 - Accompagnement du patient et de sa famille",2022-05-18T04:44:46.000Z,2023-11-25T08:09:42.000Z,J1506,Soins infirmiers généralistes,Infirmier / Infirmière de service hospitalier,MIS,Mission intérimaire - 28 Jour(s),Contrat travail,E,Expérience exigée de 3 An(s),False,1,False,08 - RETHEL,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4164907,"[{'nom': 'HANDICAP_JOB', 'url': 'https://www.handicap-job.com/recherche/detail/oid/4792465/infirmier-de-fh.html', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/handicap_job80.png'}]",78.20Z,78,Activités des agences de travail temporaire,49.509713,4.378836,08300,08362,Appel Medical,"Rejoignez les 30 000 collaborateurs de l'Appel Médical et bénéficiez de nombreuses missions et emplois les plus adaptés à vos envies et compétences tout en profitant des nombreux services et avantages exclusifs.
Les fonctions ou intitulés se déclinent au féminin comme au masculin.",,,,,,,,,,,,,,,,,,,,
4066910,MANOEUVRE ((H/F)),"RESPONSABILITÉS : 

La mission
Prêt(e) à déplacer montagnes en tant que Manoeuvre polyvalent(e) au sein de notre prestigieux établissement ?
Vous aimez vous mouvoir tel un danseur classique tout en portant des charges comme un superhéros ? Alors, ce rôle est fait pour vous!
- Exécutez diverses tâches, comme si vous étiez un couteau suisse industriel.
- Portez des charges à l'allure d'un héros de bande dessinée, sans même ciller.
- Travailler à l'extérieur dans tous les conditions météo et terrain, comme si vous étiez un aventurier intrépide.
- Démontrez une motivation à déplacer des montagnes, ou du moins, des matériaux de construction.
- Travaillez aussi efficacement seul qu'au sein d'une équipe, comme un caméléon social.

PROFIL RECHERCHÉ : 

Profil recherchéFormation et expérience
Profil recherché : Manœuvre H/F dynamique, débrouillard et armé d'une polyvalence à toute épreuve ainsi que d'une motivation portant des charges d'espoir pour notre édifice.
- Compétence indispensable : être un-e manœuvre aguerri-e, 1-2 ans d'expérience exigés
- Polyvalence :Capable d'épouser divers rôles sur un chantier, conformément à son humeur du jour.
- Motivation :Digne d'un athlète olympique, constante quel que soit le poids des charges à porter.
- Débrouillardise :Aptitude à se sortir de situations aussi enchevêtrées qu'un sac de fils électriques.
- Physique :La potentiel à transporter des charges dignes de celui d'un haltérophile de renom.
- Formation :Certificat d'aptitude à la conduite en sécurité d'engins de chantier requise et appréciée.
Ce que nous vous offrons :
 - Contrat : Intérim
 - Date de démarrage du contrat : Dès que possible
 - Durée du contrat : à la semaine renouvelable
 - Salaire : entre 11.52 et 11.52 €/heure
 - Mission en Temps plein : 35h/semaine
Préparez-vous à être surpris ! Après que vous aurez envoyé votre candidature, un verre à la main ou votre chat sur les genoux, vous recevrez un message de la divine Kelly. Elle saura vous guider vers de nouveaux horizons sans jamais parler salaire ! Fin du spoiler.",2022-05-16T21:01:46.000Z,2024-01-01T11:26:49.000Z,F1704,Préparation du gros oeuvre et des travaux publics,Manoeuvre travaux publics,MIS,Mission intérimaire - 3 Mois,Contrat travail,D,Débutant accepté,False,1,False,34 - MONTPELLIER,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4066910,"[{'nom': 'BEETWEEN', 'url': 'https://candidature.beetween.com/apply/job/7340yrvkmn8/manoeuvre-h-f', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/beetween80.png'}]",78.20Z,78,Activités des agences de travail temporaire,43.610476,3.87048,34000,34172,ATRIUM Montpellier,"Qui sommes-nous ?
Chez ATRIUM, nos offres d'emploi sont aussi variées que les saveurs de Montpelliéraine ! Notre agence du groupe Atoll, plus resplendissante qu'un lever de soleil sur la Méditerranée, vous offre une multitude d'opportunités d'emploi. Alors vous aussi, jetez l'ancre chez ATRIUM et naviguez vers de nouveaux horizons professionnels",35 H  Travail en journée,Temps plein,5,Employé non qualifié,"Horaire de 12,00 Euros",,,,,,,,,,,,,,,
4055964,Boucher (H/F),"Description du poste : Nous recherchons pour l'un de nos magasins un boucher h f - 
ACTIVITES PRINCIPALES
- Activités techniques
&gt; Réceptionner qualitativement des carcasses (et ou) des viandes sous vide et contr&ocirc;ler la qualité d'un produit,
&gt; Réaliser la comptabilité matière et assurer la tra&ccedil;abilité des viandes,
&gt; Préparer une carcasse aux opérations de découpe, ainsi que découpe de la viande,
&gt; Trier, détailler et conditionner des pièce de viandes,
&gt; Entretenir le poste de travail et l'espace de vente,
&gt; Nettoyer le matériel et les équipements,
- Relation client
&gt; Disposer et présenter des produits sur le lieu de vente,
&gt; Renseigner les clients et préparer leurs commandes,
-gestion 
&gt; Suivre l'état des stocks,
&gt; Définir les besoins en approvisionnement avec les mercuriales et ou cadenciers
&gt; Réaliser une gestion comptable des matières
&gt; Participation aux inventaires,
&gt; Veiller au bon tarage des balances et ou combiné de pesage 
COMPETENCES CLEFS
 - SAVOIRS
&gt; Connaitre l'anatomie animale, les Techniques de désossage, de découpage, de parage des viandes et ficelage des viandes,
&gt; Connaitre les technique de transformation de viandes et connaitre les modes de cuisson des viandes,
&gt; Ma&icirc;triser les principes de la cha&icirc;ne du froid et connaitre les règles d'hygiène et de sécurité alimentaire.
SAVOIRS FAIRE
&gt; Savoir réceptionner un produit, trier des pièces de viandes, détailler des pièces de viande et conditionner des pièces de viandes.
&gt; Tra&ccedil;abilité des produits,
 
 SAVOIR ETRE
&gt; Etre Autonome et organisé, avoir le sens du service et du contact,
&gt; Savoir travailler en équipe",2022-05-16T17:49:04.000Z,2024-01-05T02:58:10.000Z,D1101,Boucherie,Boucher / Bouchère,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,12 - Aveyron,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4055964,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/boucher-aveyron-1409011.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=boucher', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,,,,,,,CARREFOUR,"Groupe indépendant localisé en Occitanie et Auvergne, franchisé Carrefour et Carrefour Market, rencherche pour accompagner son expansion",,,,,,,,,,,,,,,,,,,,
3720901,Infirmier / Infirmière de soins généraux (H/F),"Missions : 

- Vous intervenez au domicile des patients pris en charge par l&#39;HAD afin d&#39;assurer les soins techniques.

contrats : 

CDI / CDD temps plein 

Conditions :

Titulaire du Diplôme d&#39;Etat d&#39;Infirmier, une expérience sur un poste similaire est appréciée.

Vous faîtes preuve de rigueur, de disponibilité, de réactivité et appréciez le travail en équipe.

Ce poste nécessite d'effectuer des déplacements ; un véhicule sera mis à votre disposition.  déplacements sur le département de l&#39;Eure-et-Loir.

Rémunération : Catégorie TAM - degré 2 (anciennement cat E ) - à partir de 16,35€/h + primes

Selon  avenant 43/2020 à la Convention Collective de la Branche de l&#39;Aide, de l&#39;Accompagnement, des Soins et des Services A Domicile (BAD)",2022-05-08T19:38:14.000Z,2024-01-03T08:28:37.000Z,J1506,Soins infirmiers généralistes,Infirmier / Infirmière de soins généraux,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,False,1,False,28 - Eure et Loir,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/3720901,"[{'nom': 'UDES', 'url': 'https://www.emploi-ess.fr/poleemploi-CR8057', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/udes80.png'}]",,,,,,,,HUMENSIA,"Depuis 1955, HUMENSIA est un acteur local et engagé pour la santé, les soins et l'accompagnement à domicile.  
Avec plus de 22 antennes locales réparties sur le territoire Centre Val de Loire, nous sommes attachés à proposer une offre d'accompagnement à domicile de proximité au service de la santé et de l&#39;autonomie de nos patients et bénéficiaires.  
Pour nous, prendre soin de la Personne est fondamental, et constitue notre raison d'être. Nous sommes engagés au ser...",,,,,,,,,,,,,,,,,,,,
3705632,Chef de rayon frais ls (H/F),"Sous la responsabilité de votre direction, vous avez la responsabilité des rayons crèmerie LS et Ultra-Frais.
Vous managez votre équipe composée de 5 personnes.
Vous négociez vos achats et suivez les accords avec les fournisseurs.
Vous suivez vos objectifs de compte d'exploitation en termes de CA, marges et frais de personnels.
 Vous êtes rigoureux et autonome, vous avez l'esprit commercial et possédez de bonnes connaissance en gestion.
Vous êtes passionnés par les produits frais.
Vous avez le sens des responsabilités et possédez une expérience similaire en Hypermarché.",2022-05-08T14:43:50.000Z,2023-12-19T18:05:33.000Z,D1502,Management/gestion de rayon produits alimentaires,Chef de rayon produits frais,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,59 - VALENCIENNES,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/3705632,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/chef-de-rayon-frais-ls-valenciennes-1429026.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=responsable-de-rayon-produits-non-alimentaires', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,,,50.358552,3.510438,59300,59606,Palmer International,"Hypermarché indépendant de 7 000 m&sup2; recherche un e
Chef de rayon Crèmerie LS, Ultra Frais H F",,,,,,,,,,,,,,,,,,,,
3690871,AIDE SOIGNANT (H/F),"Nous recherchons pour le compte de notre client, un établissement privé de personnes âgées dépendantes proche d'Avignon, un Aide Soignant (H/F), un Aide Médico Psychologique (H/F) ou Accompagnant Éducatif et Social (H/F) pour des remplacements ponctuels tout au long de l'année.
N'hésitez pas à nous contacter même si vous n'êtes disponible que ponctuellement.Nous recrutons un Aide Soignant (H/F), un Aide Médico Psychologique (H/F) ou Accompagnant Éducatif et Social (H/F) diplômé pour travailler en maison de retraite.
Les tâches principales sont de :
- Dispenser les soins d'hygiène et de confort,
- Surveillance (prise de température, identification des changements des comportements du patient...),
- Surveillance et aide à l'alimentation, à l'hydratation,
- Soins préventifs,
- Accueillir et installer la personne et son entourage,
- Informer la personne des soins courants dispensés,
- Entretenir l'environnement immédiat de la personne.
L'Appel Médical est à votre écoute et vous accompagne au quotidien, n'hésitez pas à nous contacter pour nous indiquer le poste que vous recherchez. Rejoindre nos équipes vous permet également de bénéficier de nombreux avantages: mutuelle, comité d'établissement, participation aux résultats, ... N'attendez plus !",2022-05-08T10:39:27.000Z,2023-11-08T05:47:29.000Z,J1501,"Soins d'hygiène, de confort du patient",Aide-soignant / Aide-soignante,MIS,Mission intérimaire - 21 Jour(s),Contrat travail,D,Débutant accepté,False,1,False,84 - AVIGNON,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/3690871,"[{'nom': 'HANDICAP_JOB', 'url': 'https://www.handicap-job.com/recherche/detail/oid/4786619/aide-soignant-fh.html', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/handicap_job80.png'}]",78.20Z,78,Activités des agences de travail temporaire,43.936694,4.845053,84000,84007,Appel Medical,"Rejoignez les 30 000 collaborateurs de l'Appel Médical et bénéficiez de nombreuses missions et emplois les plus adaptés à vos envies et compétences tout en profitant des nombreux services et avantages exclusifs.
Les fonctions ou intitulés se déclinent au féminin comme au masculin.",,,,,,,,,,,,,,,,,,,,
3686283,AIDE SOIGNANT (H/F),"Nous recherchons pour le compte de notre client,  proche de Saint-Rémy de Provence, un aide-soignant (H/F), un aide médico-psychologique (H/F) ou accompagnant éducatif et social (H/F) pour des remplacements ponctuels tout au long de l'année.
Diverses tâches sont à pourvoir également tout au long de l'année, n'hésitez pas à nous contacter même si vous n'êtes pas disponible.Les tâches principales sont de :
- Dispenser les soins d'hygiène et de confort,
- Surveillance (prise de température, identification des changements des comportements du patient...),
- Surveillance et aide à l'alimentation, à l'hydratation,
- Soins préventifs,
- Accueillir et installer la personne et son entourage,
- Informer la personne des soins courants dispensés,
- Entretenir l'environnement immédiat de la personne.",2022-05-08T09:40:10.000Z,2023-11-08T05:47:29.000Z,J1501,"Soins d'hygiène, de confort du patient",Aide-soignant / Aide-soignante,MIS,Mission intérimaire - 12 Jour(s),Contrat travail,D,Débutant accepté,False,1,False,13 - ST REMY DE PROVENCE,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/3686283,"[{'nom': 'HANDICAP_JOB', 'url': 'https://www.handicap-job.com/recherche/detail/oid/4786709/aide-soignant-fh.html', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/handicap_job80.png'}]",78.20Z,78,Activités des agences de travail temporaire,43.796255,4.836697,13210,13100,Appel Medical,"Rejoignez les 30 000 collaborateurs de l'Appel Médical et bénéficiez de nombreuses missions et emplois les plus adaptés à vos envies et compétences tout en profitant des nombreux services et avantages exclusifs.
Les fonctions ou intitulés se déclinent au féminin comme au masculin.",,,,,,,,,,,,,,,,,,,,
3686119,INFIRMIER DE (H/F),"En raison de l'épidémie COVID actuelle, nous recherchons pour le compte de notre client un Infirmier (H/F) en service des urgences, sur le secteur Arlésien. tâche en 7h ou 12h selon planning. Les frais de déplacements sont pris en charge selon conditions. 
N'hésitez pas à nous contacter si vous êtes disponible.Les tâches principales de l'infirmier (H/F) sont les suivantes: 
- Planifier et assurer l'exécution des soins sur prescriptions médicales;
- Veiller à la continuité des soins infirmiers courants et techniques;
- Soins de nursing;
- Surveiller tous les paramètres cliniques;
- Relation d'aide;
- Participer à la réfection des pansements et dispenser des soins préventifs;
- Proposer une prescription de médicaments.
L'Appel Médical est à votre écoute et vous accompagne au quotidien, n'hésitez pas à nous contacter pour nous indiquer le poste que vous recherchez (type de contrat, service souhaité). Rejoindre nos équipes vous permet également de bénéficier de nombreux avantages: mutuelle, comité d'établissement, participation aux résultats, ... N'attendez plus !",2022-05-08T09:39:43.000Z,2023-11-08T05:47:30.000Z,J1506,Soins infirmiers généralistes,Infirmier / Infirmière de soins généraux,MIS,Mission intérimaire - 5 Jour(s),Contrat travail,D,Débutant accepté,False,1,False,13 - ARLES,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/3686119,"[{'nom': 'HANDICAP_JOB', 'url': 'https://www.handicap-job.com/recherche/detail/oid/4786822/infirmier-de-fh.html', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/handicap_job80.png'}]",78.20Z,78,Activités des agences de travail temporaire,43.608782,4.610256,13104,13004,Appel Medical,"Rejoignez les 30 000 collaborateurs de l'Appel Médical et bénéficiez de nombreuses missions et emplois les plus adaptés à vos envies et compétences tout en profitant des nombreux services et avantages exclusifs.
Les fonctions ou intitulés se déclinent au féminin comme au masculin.",,,,,,,,,,,,,,,,,,,,
