id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,experienceExige,experienceLibelle,alternance,nombrePostes,accessibleTH,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,entreprise.description,entreprise.entrepriseAdaptee,origineOffre.origine,origineOffre.urlOrigine,origineOffre.partenaires,qualificationCode,qualificationLibelle
7391501,Poissonnier (H/F),"Mettre en scène ,animer l'étal .theatraliser grace a vos talents d'imaginations et de décoration 
Acceuillir les clients apporter des solutions ,des idées recettes ,vous préparez et transformez tout type de poisson
Vous réalisez ,l'ouverture ,la fermeture de votre rayon 
Dans le respect des régles d'hygiéne ,de sécurité ,tracabilité
 Vous faites preuve de rigueur ,d'organisation et vous etes a l'aise avec le contact clients 
Chez Leclerc, chaque collaborateur est force de proposition ,qu'il s'agisse du développement de vos missions 
Nous sommes à l'écoute de vos idées pour vous permettre de continuer à evoluer au sein de l'entreprise",2021-07-03T20:35:43.000Z,2024-01-05T02:57:29.000Z,D1105,Poissonnerie,Poissonnier / Poissonnière,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,95 - GONESSE,48.985195,2.457867,95500,95277,Leclerc Gonesse,"Hypermarché 6000 m&sup2;, au sein d'un centre commercial de proximité et proche du golf de Gonesse (95500), 200 personnes, enseigne nationale E.LECLERC recherche :",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/7391501,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/poissonnier-h-f-gonesse-1229661.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=mareyeur', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
7165513,Comptable (H/F),"Vous assistez le responsable administratif, comptable et financier du magasin.
 
 
Même avec peu d'expériences, en entreprise ou en cabinet, vous détenez un dipl&ocirc;me d'études supérieures de type bac+2.
Vous possédez une importante capacité de travail.
Vous êtes rigoureux, volontaire et doté d'un bon sens de la communication.
Excellente opportunité pour un candidat voulant concrétiser ses expériences et avoir une perspective d'évolution.
Statut et Salaire à négocier en fonction du profil.
Participation, Interressement, Mutuelle...
Envoyer votre dossier en toute confidentialité à enzomonnet @ orange.fr",2021-06-30T15:02:46.000Z,2024-01-05T02:57:29.000Z,M1203,Comptabilité,Comptable,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,Occitanie,,,,,,"Hypermarché à 1H15 de Béziers cherche son
comptable H F",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/7165513,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/comptable-languedoc-roussillon-1243614.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=comptable', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
7165043,Responsable bazar (H/F),"Directement sous l'autorité du Directeur, vous encadrerez une demi douzaine de personnes. Vous avez impérativement une ou plusieurs expériences réussies en tant que responsable Bazar.
Vous connaissez impérativement les spécificités du commerce alimentaire indépendant ou intégré en HYPERMARCHES pour en être issu ou y avoir travaillé récemment plusieurs années. 
Si vous êtes en poste, votre dossier sera traité en toute confidentialité. 
Merci d'envoyer votre dossier sous référence baz1 uniquement sous forme dématérialisée à j.valjean @ orange . fr
Rémunération à négocier.
Véritable opportunité pour réaliser ses ambitions dans un magasin performant en progression même pendant le confinement.",2021-06-30T14:59:58.000Z,2024-01-05T02:57:48.000Z,D1301,Management de magasin de détail,Responsable de boutique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,Occitanie,,,,,,"Hypermarché leader sur sa zone recherche son 
Responsable Bazar (H F)",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/7165043,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/responsable-bazar-languedoc-roussillon-1253384.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
6947225,Chef de rayon boulangerie viennoiserie (H/F),"Sous l'autorité du directeur et en collaboration avec celui-ci le titulaire du poste est chargé d'appliquer et de faire appliquer la politique commerciale définie par l'enseigne.
Vous rendez compte de vos résultats en terme de CA, de marges et de frais.
Vous animez votre équipe de 7 personnes dans un souci permanent de rentabilité et d'efficacité.
Vous disposerez de tous les moyens nécessaires à votre action.
 Homme   Femme de terrain et de commerce, professionnel de la boulangerie, bon négociateur et animateur d'équipe, vous justifiez d'une expérience réussie acquise en Hypermarché ou en Supermarché.",2021-06-26T17:58:32.000Z,2024-01-05T02:57:39.000Z,D1502,Management/gestion de rayon produits alimentaires,Chef de rayon boulangerie,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,45 - Loiret,,,,,Palmer International,"Hypermarché indépendant de 8 000 m&sup2;
Chef de rayon Boulangerie Viennoiserie H F",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/6947225,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/chef-de-rayon-boulangerie-viennoiserie-loiret-1288698.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=manager-rayon-alimentaire', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
5652314,Responsable magasin (H/F),"Vous avez en charge l'ensemble de la gestion commerciale du point de vente. Véritable chef d'orchestre, vous ma&icirc;trisez parfaitement le terrain. Manager participatif et fédérateur, vous veillez à préserver une ambiance dynamique et agréable au sein des équipes. passionné par votre domaine d'activité vous savez anticiper les difficultés et corriger en fonction des résultats. Vous êtes garant de vos marges. Le salaire est en fonction de votre profil et s'accompagne d'une prime annuelle sur résultats définie avec le pdg. Rigoureux, organisé, terrain, commer&ccedil;ant. De fortes capacités à anticiper et à voir le travail à accomplir. Vous savez entretenir une ambiance agrable et dynamqiue au sein de vos équipes. Homme de dialogue, vous êtes à l'écoute de votre hiérarchie tout en étant force de proposition. Une excellente ma&icirc;trise du PGC est indispensable.",2021-06-04T20:41:00.000Z,2024-01-09T20:25:04.000Z,D1301,Management de magasin de détail,Responsable de boutique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,25 - DOUBS,46.925713,6.347305,25300,25204,Est Recrutement,"Supermarché frontalier, dynamique et agréable.",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/5652314,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/responsable-magasin-doubs-1281206.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=responsable-magasin', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
5551982,Manager boulangerie pâtisserie (H/F),"Vous supervisez l'ensemble de la fabrication complète boulangerie pâtisserie avec un adjoint de rayon dans chaque secteur. Vous animez l'aspect commercial et êtes garant de vos résultats. L'équipe se compose de 12 personnes. Rigoureux, organisé, vous fédérez votre équipe autour d'objectifs précis. Doté d'un fort esprit d'entreprise, vous avez une réelle culture du résultat. Force de proposition, vous organisez des animations commerciales et des promotions. Véritable moteur au sein de votre équipe vous managez par l'exemplarité.",2021-06-03T12:14:20.000Z,2024-01-06T21:15:10.000Z,D1502,Management/gestion de rayon produits alimentaires,Chef de rayon boulangerie/pâtisserie,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,Grand Est,,,,,Est Recrutement,Hypermarché indépendant. Management dynamique et agréable. Fort esprit d'entreprise.,False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/5551982,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/manager-boulangerie-patisserie-alsace-1280893.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
5382986,Boucher étalier (H/F),"Votre expérience professionnelle vous a amené à occuper un poste de BOUCHER chez un commer&ccedil;ant ou dans une enseigne indépendante 
 
Vous savez : 
 
- définir une structure d'assortiment répondant aux besoins de la clientèle et aux objectifs de rentabilité, 
 
- gérer un atelier de fabrication et être garant de l'image qualité fra&icirc;cheur qui est particulièrement déterminante dans l'appréciation de notre clientèle 
 
- développer des filières d'approvosionnements avec une tra&ccedil;abilité performantes 
 
 - travailler en équipe au quotidien 
 
- respecter des différentes règles de tra&ccedil;abilités ( hygiène, sécurité, environnement, règlementation) 
 
- gérer des achats et des stocks Professionel, vous avez envie de relever un nouveau challenge. 
Vous êyes porteur du climat social dans un esprit d'intelligence collective
CDI 
Salaire X 13 + intér   + part",2021-05-30T06:08:27.000Z,2024-01-09T20:13:23.000Z,D1101,Boucherie,Boucher / Bouchère,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,67 - SAVERNE,48.739971,7.369851,67700,67437,Cabinet Michel Gérard,"Cabinet Michel GERARD référence (Grand Est) depuis plus de 40 ans dans le recrutement et l'approche directe assure à ses clients et candidats un accompagnement personnalisé dans des opportunités de carrière.
 Notre Client Enseigne à l'esprit familial appartient à un Groupe Indépendant leader de la Grande Distribution qui développe des valeurs fortes, dans un environnement exigeant de nouveaux savoir faire dans des perspectives d'avenir, de conduite du changement et du vivre en...",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/5382986,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/boucher-etalier-h-f-saverne-1279802.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
5276022,Menuisier bois (H/F),"Dans le cadre de notre développement nous recherchons un poseur de menuiseries intérieures et cloisons modulaires aluminium.

Vous êtes autonome, rigoureux, et avez le sens du travail en équipe.

Rémunération selon profil.",2021-05-27T16:46:10.000Z,2023-11-16T05:48:28.000Z,H2206,Réalisation de menuiserie bois et tonnellerie,Menuisier / Menuisière,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,76 - GONFREVILLE L ORCHER,49.510347,0.22592,76700,76305,,"Créée en 1931, GNC Agencement est une entreprise Normande spécialisée dans l'agencement et le second œuvre.

Fort de notre bureau d'études et de notre atelier, nous concevons et installons des projets sur mesure, pour une clientèle essentiellement de professionnels et de collectivités.",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/5276022,"[{'nom': 'FFB Normandie', 'url': 'https://emploi.normandie.construction/offre/poseur-menuiseries-et-cloisons', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/ffb_normandie80.png'}]",3,"Ouvrier qualifié (P1,P2)"
4923003,Chef de rayon poissonnerie (H/F),"Sous l'autorité du chef de département PF et en collaboration avec celui-ci le titulaire du poste est chargé d'appliquer et de faire appliquer la politique commerciale définie par l'enseigne.
Vous rendez compte de vos résultats en terme de CA, de marges et de frais. 
Vous animez votre équipe de 4 personnes dans un souci permanent de rentabilité et d'efficacité.
Vous disposerez de tous les moyens nécessaires à votre action.
 Homme   Femme de terrain et de commerce, bon négociateur, vous justifiez d'une expérience réussie acquise en hypermarché ou en supermarché. 
La gestion du rayon Poisson vous est familière.",2021-05-20T13:07:13.000Z,2023-12-23T18:04:57.000Z,D1502,Management/gestion de rayon produits alimentaires,Chef de rayon poissonnerie,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,59 - VALENCIENNES,50.358552,3.510438,59300,59606,Palmer International,"Hypermarché indépendant de 7 000 m&sup2; recherche un e
Chef de rayon poissonnerie H F",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4923003,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/chef-de-rayon-poissonnerie-valenciennes-1277634.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=manager-produits-frais', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
4498263,Pizzaiolo (H/F),"Misssions et responsabilités:
Avec le Chef de département P F vous optimiser l'organisation et la gestion du rayon .
Vous propsez un service de qualité et de prix tout en assurant un niveau optimal d'accueil, de conseil et satisfaction des clients, en étant le (la) garant  du compte d'exploitation (chiffres d'affaires, marges); en respectant les concepts de l'enseigne.
Mission:
Votre experstise des produits et des recettes vous permet d'organiser votre activité tout en assurant un niveau optimal d'accueil, de conseil et de saisfaction des clients.
Vous avez un go&ucirc;t pour l'innovation, tout en travaillant également sur les recettes traditionnelles qui on fait leur preuves.
Vous entretenez et développez des relations de qualité avec nos fournisseurs locaux.
Fin connaisseur de vos produits, vous avez une parfaite connaissance des cuissons et de la réglementation en vigueur
Vous pilottez la marge et la productivité.
 
Nous recherchons avant tout un amoureux et passionné par son métier de PIZZAIOLO et nous restons ouverts à des profils sans expérience en management.
 Du fait de son activité et de son développement notre Société, attache une forte importance à ses clients, mais également à ses salariés 
Professionnel - commer&ccedil;ant 
 
- Vous savez fidéliser votre clientèle 
 
Salaire mensuel X 13 + intér + part = 15 mois+ primes",2021-05-11T11:54:44.000Z,2024-01-09T20:14:31.000Z,G1604,Fabrication de crêpes ou pizzas,Pizzaïolo / Pizzaïola,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,False,1,False,67 - STRASBOURG,48.579831,7.761454,67000,67482,Cabinet Michel Gérard,"Cabinet Michel GERARD Cabinet de recrutement (ALSACE) , référence depuis plus de 40 ans dans le recrutement en Grande Distribution assure à ses clients et candidats un accompagnement personnalisé.
Notre client Enseigne à l'esprit familial appartient à un Groupe indépendant leader en G.D qui développe des valeurs fortes, de nouveaux savoir faire dans de sperspectives d'avenir du vivre ensemble  recherche  pour son client HYPERMARCHE 
 
 
PIZZAIOLO H F
 
V...",False,2,https://candidat.pole-emploi.fr/offres/recherche/detail/4498263,"[{'nom': 'DISTRIJOB', 'url': 'https://www.distrijob.fr/offre-emploi/pizzaiolo-h-f-strasbourg-1274931.aspx?utm_source=pole-emploi&utm_medium=referral&utm_campaign=pizzaiolo', 'logo': 'https://www.pole-emploi.fr/static/img/partenaires/distrijob80.png'}]",,
