intitule,description,romeLibelle,competences,cosine_similarity
Menuisier poseur / Menuisière poseuse aluminium,"Pose de menuiseries extérieures aluminium, PVC bois, volets, portes de garage...
Pose en rénovation ou en neuf.",Pose de fermetures menuisées,"[{'code': '103592', 'libelle': ""Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ..."", 'exigence': 'E'}, {'code': '121168', 'libelle': 'Couper les éléments de fermetures menuisées', 'exigence': 'S'}, {'code': '123243', 'libelle': 'Fixer des éléments menuisés', 'exigence': 'E'}]",0.35249928
Menuisier / Menuisière aluminium,"Nous recherchons un(e) menuisier aluminium

Votre mission:

- vous procédez à la fabrication de menuiserie intérieur extérieur en Alu,",Menuisier / Menuisière aluminium,"[{'code': '100596', 'libelle': 'Techniques de maçonnerie', 'exigence': 'S'}, {'code': '103592', 'libelle': ""Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ..."", 'exigence': 'S'}, {'code': '121168', 'libelle': 'Couper les éléments de fermetures menuisées', 'exigence': 'S'}, {'code': '123243', 'libelle': 'Fixer des éléments menuisés', 'exigence': 'S'}, {'code': '124331', 'libelle': ""Démonter une fermeture menuisée et vérifier l'état du support"", 'exigence': 'S'}]",0.35249928
Maçon / Maçonne en rénovation,"Vos missions:
- Maçonnerie neuf et rénovation 
- Façade 
- Béton désactivé 
- Divers travaux de rénovation intérieur et extérieur",Maçonnerie,"[{'code': '103767', 'libelle': 'Terrasser et niveler la fondation', 'exigence': 'S'}, {'code': '121482', 'libelle': 'Appliquer les mortiers', 'exigence': 'S'}, {'code': '122952', 'libelle': 'Monter les murs en utilisant les matériaux adaptés', 'exigence': 'S'}, {'code': '123667', 'libelle': 'Réaliser des enduits', 'exigence': 'S'}, {'code': '400081', 'libelle': ""Assembler et positionner les éléments d'armatures et les caissons pour le béton"", 'exigence': 'S'}]",0.35249928
Menuisier poseur  (H/F),"Pose fermetures extérieures (fenêtres, porte d'entrée, garage) et intérieures (porte
intérieur, sol)",Réalisation de menuiserie bois et tonnellerie,"[{'code': '100286', 'libelle': 'Techniques de soudure', 'exigence': 'S'}, {'code': '114823', 'libelle': 'Réaliser un gabarit', 'exigence': 'S'}, {'code': '120068', 'libelle': 'Débiter des pièces de rotin ou de bois', 'exigence': 'S'}, {'code': '124985', 'libelle': 'Assembler des sous-ensembles par procédé mécanique', 'exigence': 'S'}, {'code': '300228', 'libelle': 'Fixer, poser, installer des éléments, des ouvrages', 'exigence': 'S'}]",0.35249928
Aide à domicile,"Vous serez en charge de l'entretien du domicile et balayage des extérieurs;

Vous travaillez une heure trente par jour de préférence de 10h a 11h30 du lundi au vendredi.",Services domestiques,,0.35249928
Menuisier / Menuisière aluminium,"Nous recherchons un(e) menuisier aluminium

Votre mission:

- vous procédez à la fabrication de menuiserie intérieur extérieur en Alu,",Menuisier / Menuisière aluminium,"[{'code': '100596', 'libelle': 'Techniques de maçonnerie', 'exigence': 'S'}, {'code': '103592', 'libelle': ""Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ..."", 'exigence': 'S'}, {'code': '121168', 'libelle': 'Couper les éléments de fermetures menuisées', 'exigence': 'S'}, {'code': '123243', 'libelle': 'Fixer des éléments menuisés', 'exigence': 'S'}, {'code': '124331', 'libelle': ""Démonter une fermeture menuisée et vérifier l'état du support"", 'exigence': 'S'}]",0.35249928
Peintre enduiseur / enduiseuse,"Nous recherchons deux enduiseurs peinture pour travaux extérieurs (neuf et/ou rénovation)
Divers enduits, peintures, plaquettes de parement...
Horaires normaux de 35 heures.",Peinture en bâtiment,"[{'code': '100634', 'libelle': 'Techniques de peinture', 'exigence': 'E'}, {'code': '103566', 'libelle': 'Préparer la peinture', 'exigence': 'E'}, {'code': '300131', 'libelle': 'Préparer un support, une matière', 'exigence': 'E'}, {'code': '300227', 'libelle': 'Peindre des surfaces et supports visuels', 'exigence': 'E'}, {'code': '400409', 'libelle': 'Monter ou démonter un échafaudage', 'exigence': 'E'}]",0.35249928
Façadier / Façadière,"Vos missions :
- réalisation de façades dans le cadre d'isolations extérieures et intérieures.

Label RGE travaux indispensable.

Poste à pourvoir au plus vite.",Réalisation et restauration de façades,"[{'code': '123628', 'libelle': 'Techniques de sablage', 'exigence': 'S'}, {'code': '126509', 'libelle': 'CACES R408 échafaudages de pied ', 'exigence': 'S'}, {'code': '114396', 'libelle': 'Poser et fixer des profilés, armatures, arrêtes de tableaux, cornières, ...', 'exigence': 'S'}, {'code': '122215', 'libelle': 'Corriger un support à enduire', 'exigence': 'S'}, {'code': '122963', 'libelle': ""Poser des éléments d'étanchéité"", 'exigence': 'S'}, {'code': '123244', 'libelle': 'Régler la machine à projeter', 'exigence': 'S'}, {'code': '123627', 'libelle': 'Nettoyer un support maçonné', 'exigence': 'S'}, {'code': '123629', 'libelle': 'Enlever un ancien revêtement', 'exigence': 'S'}, {'code': '300228', 'libelle': 'Fixer, poser, installer des éléments, des ouvrages', 'exigence': 'S'}, {'code': '300655', 'libelle': 'Réaliser la préparation des supports', 'exigence': 'S'}, {'code': '300669', 'libelle': 'Restructurer des maçonneries', 'exigence': 'S'}, {'code': '400409', 'libelle': 'Monter ou démonter un échafaudage', 'exigence': 'S'}]",0.35249928
Manoeuvre travaux publics,"Aménagements extérieurs, assainissements, pose de pavés, petites maçonneries",Préparation du gros oeuvre et des travaux publics,"[{'code': '121977', 'libelle': 'Terrasser un terrain ou une construction', 'exigence': 'S'}, {'code': '300265', 'libelle': 'Charger, décharger, manutentionner des produits', 'exigence': 'E'}, {'code': '400288', 'libelle': 'Déblayer, remblayer un terrain', 'exigence': 'S'}]",0.35249928
Ravaleur / Ravaleuse,"Nous cherchons un(e) RAVALEUR(EUSE) pour renforcer notre équipe.

Vous aurez en charge:

- L'isolation extérieur
- Ravalement
- Pose d'isolation
- Colle et chevillage 
- Enduis, laine de verre

Vous travaillerez du lundi au vendredi de 9h à 17h",Réalisation et restauration de façades,"[{'code': '123628', 'libelle': 'Techniques de sablage', 'exigence': 'S'}, {'code': '123244', 'libelle': 'Régler la machine à projeter', 'exigence': 'S'}, {'code': '123627', 'libelle': 'Nettoyer un support maçonné', 'exigence': 'S'}, {'code': '123629', 'libelle': 'Enlever un ancien revêtement', 'exigence': 'S'}]",0.35089767
