intitule,description,romeLibelle,competences,cosine_similarity_tfidf
Chef de Projet Dynamics CRM F/H - mylight150 (H/F),"En tant que chef de projet Dynamics CRM, tu seras en charge de la plateforme Dynamics 365 et des outils liés au domaine Commerce, Support & Marketing. 
Rattaché(e) au manager du pôle ERP & Business Solutions, au sein d'une direction informatique en plein développement, tes principales missions seront : 
 
 
  
- Analyser, comprendre et rédiger les besoins des utilisateurs métiers et proposer des solutions adaptées et innovantes autour de la solution CRM pour optimiser les processus métier et réduire les coûts (Sales, Customer Service & Marketing), 
- Configurer l'application MS Dynamics CRM 365 en fonction des besoins spécifiques de l'entreprise (Formulaire, modèle de données, paramétrage.), 
- Travailler en collaboration avec les départements métiers, du pôle Produit & Innovation, en utilisant les méthodologies internes de gestion de projet et déploiement (Agile, Azure DevOps.), 
- Piloter le déploiement des solutions et garantir la disponibilité et l'intégrité des données entrantes et sortantes en collaboration avec nos partenaires internes / externes, 
- Assurer le maintien en condition opérationnelle de la plateforme CRM et de son intégration au sein du SI global, 
- Participer à l'assistance du CRM auprès des utilisateurs, 
- Assurer la veille technologique et le suivi des évolutions de la plateforme 365 et anticiper les impacts et opportunités la concernant. 
 
- Issu(e) d'une formation supérieure (IT idéalement), tu as acquis au moins 3 ans d'expérience au sein d'une ESN ou d'une DSI dont une expérience d'au moins 2 ans traitant des sujets d'implémentation / développement de la solution Microsoft Dynamics CRM 365 (SaaS) dont tu as une excellente connaissance des différents modules. Idéalement tu as l'habitude de traiter des sujets autour de la Power Platform (Automate et Apps), ainsi qu'une connaissance des technologies Javascript/.NET.   
- Tu as une forte sensibilité sur la qualité des données et l'efficience opérationnelle de tes clients internes et adore travailler au contact des métiers.   
- Curieux(se), tu es guidé(e) par ton envie d'apprendre et de partager tes connaissances. Ta capacité d'organisation et de rédaction te permet d'élaborer des cahiers des charges, plan de test, ou encore documentation technique ou utilisateur.  
- Tu es reconnu(e) pour ta flexibilité, ta ténacité et ton savoir-être.  
- Tu parles couramment anglais. 
 
 
 
Compétences SI attendues :
 
 
  
- CRM : Expérience significative sur Dynamics CRM 365 (Sales, Field Service.) 
- Plateforme Microsoft : Power Apps, Power Automate, Dataverse 
- SQL / BI : Connaissances pratiques 
- ERP : Idéalement MS Dynamics Business Central ou MS Navision 
- Méthodologie & Outil Projet : Scrum, Azure DevOps",Ingénierie et études du BTP,,[[0.5789434]]
RESPONSABLE MARKETING - H/F,"Description :


La Direction Marketing & Communication recrute un(e) Responsable Marketing.Contexte :Dans un contexte de forte transformation de l'entreprise, une nouvelle Direction Marketing & Communication a été créée au service de la croissance de GS1France sur les 4 axes : Volume, Valeur, Usage, Image.La Direction Marketing & Communication se constitue de 4 pôles :Pôle Connaissance Adhérents & EtudesPôle Marketing (recrutement)Pôle CommunicationPôle DigitalLes enjeux de cette nouvelle Direction Marketing & Communication sont :Le développement d'une connaissance adhérents plus fine grâce à une démarche études & data structurée, et ainsi accélérer les approches « adhérent centric » au sein de GS1France.La professionnalisation du cycle de développement et de lancement des offres (produits & services), en particulier ancrer et décliner notre portefeuille d'offres autour du QRCode augmenté GS1.L'amplification de notre communication, en particulier via un gain en notoriété.Rôle :Au sein de GS1France, le / la Responsable Marketing aura pour rôle de définir la stratégie marketing des offres (produits et services) de GS1France, et piloter le lancement ('go to market') en coordination avec la Direction des Opérations (= Direction technique) et la Direction Commerciale & Filières.Responsabilités :-Définir notre « Portefeuille du futur » :Définir des axes stratégiques marketing à 3 ans pour répondre au mieux aux priorités stratégiques et objectifs de croissance Volume, valeur, Usage & Image de GS1France.Elaborer la stratégie du portefeuille d'offres et animer la cohérence de la roadmap.-Etre responsable du développement et du lancement des Offres, via une gestion de projets efficace :Définir précisément nos cibles (clients & prospects) et leurs besoins business, fonctionnels, émotionnels & statutaires, à partir d'une connaissance fine des adhérents et donneurs d'ordre (en coordination avec le pôle Connaissance adhérents & études, et la Direction Commerciale). Partager avec le reste de GS1France une vision claire par projet de l'écosystème de cibles.Garantir la réalisation de toutes les analyses pour proposer une offre répondant aux besoins de la cible et ainsi identifier les bons insights.Traduire les opportunités en projets : Quelles offres (produits & services) pour satisfaire leurs besoins ?Formaliser et transmettre des briefs clairs sur nos produits & services aux équipes de la Direction des Opérations.Définir, packager les offres & services du portefeuille de GS1France (en coordination avec la Direction des Opérations).Etablir précisément l'identité de l'offre (branding / naming si nécessaire).Recommander une architecture gammes et portefeuille d'offres / services.Elaborer et suivre les plans de lancement opérationnel / orchestration du lancement de l'offre ou service : définir la stratégie de promotion de l'offre ou service et pilotage à 360 du 'Go to market' des projets.Planifier le déroulement du projet (global, étape par étape) s'assurer du respect du délai à chaque étape. Être animateur, moteur, force de proposition et élément de cohérence de l'Equipe Projet. Formaliser les actions et recommandations afin que toutes les équipes soient informées en temps réel et effectuent les arbitrages nécessaires.Former les équipes GS1France (interne) sur l'offre.Suivre la performance des offres & services sur le marché : Evaluer l'atteinte des objectifs (Volume / Valeur / Usage / Image). Une fois le lancement réalisé vérifier que l'offre est conforme aux besoins des cibles. Mesurer la satisfaction. Recommandation de modifications si besoin.-Manager les deux chefs de produits marketing Offres. NB : Le Responsable Marketing aura des projets à mener en propre, en plus des projets gérés par son équipe. 
  
  
Profil recherché :
  
  
QUI ETES VOUS ?Bac +5 Ecole de commerce ou équivalent12/15 ans d'expérience Marketing, idéalement en milieu technique et /ou BtoBSolide expérience en gestion de projetsLangues : Anglais courantCompétences métiers :Utilisation des données marchés et insights des cibles pour concevoir une stratégie marketingGestion de projetIntelligence collective - co-constructionCuriosité & ouverture d'esprit multi-sectorielleAppétence pour les produits techniques",Marketing,,[[0.563541]]
Chef de projet SI junior (H/F),"Dans le cadre d'un important projet avec un client final, nous recherchons un Chef de projet junior.
Intégré au service informatique d'une entreprise à taille humaine, vous êtes en charge de .
Suivre et réaliser les mises à jour de nos applications avec tests fonctionnels et d'interfaces en lien avec les métiers ainsi que paramétrer ses applications et former les utilisateurs. Vous êtes donc garant de la bonne application des outils et des méthodes
Vous possédez des compétences en requêtage SQL et une bonne rédaction de procédure qualité.

Compétences requises :
Vous êtes diplômé d'une école d'ingénieur ou titulaire d'un BAC + 5, vous possédez un bon relationnel, des compétences en requêtage SQL. Vous travaillerez en relation directe avec le responsable intégration et développement de la DSI.",Direction des systèmes d'information,"[{'code': '109797', 'libelle': ""Définir la stratégie des systèmes d'informations"", 'exigence': 'S'}, {'code': '109800', 'libelle': 'Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation', 'exigence': 'S'}, {'code': '300197', 'libelle': 'Élaborer un schéma directeur technique, définir des besoins en équipement', 'exigence': 'S'}, {'code': '300488', 'libelle': 'Concevoir et gérer un projet', 'exigence': 'S'}]",[[0.53816564]]
Analyste Business Intelligence et Stratégie Commerciale  F/H - La Compagnie (H/F),"La Compagnie recrute, en contrat à durée indéterminée, un(e) analyste Business Intelligence et Stratégie Commerciale.
 
 
 
Vos missions
 
 
 
Rattaché(e) à la Direction Business Intelligence, l'analyste Business Intelligence et Stratégie Commercial aura pour mission de :
 
 
 
Business Intelligence :
 
 
 
         Participer activement au développement de rapports d'analyse et d'aide à la prise de décision et contribuer à une logique d'intelligence d'affaires dans les projets de la société,
 
         Contribuer à l'analyse des besoins fonctionnels et techniques de chaque département de la société  et proposer des rapports d'aide à la prise de décision efficaces,
 
         Aider à la création de rapports ad hoc pour répondre aux demandes spécifiques des départements et des parties prenantes internes, dont la Direction Générale et la Direction Financière,
 
         Participer à la mise en place d'un écosystème de données robuste et efficace. Rendre l'accès aux données plus simple et intuitif pour les différentes équipes concernées,
 
         Assister à la mise en place de processus d'automatisation pour la collecte, le nettoyage et l'analyse des données, afin d'améliorer l'efficacité opérationnelle,
 
         Assurer la qualité et l'intégrité des données en mettant en place des contrôles réguliers et des procédures de validation,
 
         Participer à la formation des utilisateurs finaux sur les outils et les processus liés à la Business Intelligence pour favoriser l'adoption et l'utilisation efficace des solutions déployées par l'activité.
 
 
 
Business Developpment :
 
 
 
         Contribuer à la réflexion et à l'exécution d'analyses poussant les différents départements techniques et opérationnels vers une optimisation de la performance de la société,
 
         Assister à la structuration et l'établissement d'une veille permettant une analyse claire du marché et de la conjoncture économique concernant l'activité de transport commercial de la société,
 
         Collaborer avec les équipes internes pour développer des analyses personnalisées et des solutions sur mesure en réponse aux besoins,
 
         Participer à la traduction de l'ambition stratégique de l'entreprise en plan d'actions pour les activités de ventes, en explicitant et justifiant les facteurs clés de succès associés,
 
         Collaborer à la définition et à l'accompagnement de la conduite du plan commercial stratégique de l'entreprise,
 
         Participer à la conception et à l'accompagnement de l'implémentation de nouvelles initiatives commerciales et de partenariats stratégiques,
 
         Contribuer activement au pilotage de la performance et des projets commerciaux clés de l'entreprise ainsi qu'à la réalisation des chiffres d'affaires associés au business plan.
 
 
 
Ces missions ne sont pas exhaustives et évolueront en fonction des besoins de l'entreprise.
Vous êtes issu(e) d'un cursus Bac+5 en ingénierie / commerce / informatique, spécialisation : MIAGE / BI & Analytics / Data Sciences & Business Analytics .
  
 Votre expérience antérieure atteste de votre capacité à concevoir et déployer des outils de reporting et de pilotage, contribuant ainsi à l'amélioration des performances globales. Vous excellez dans l'interprétation des besoins métier pour élaborer des tableaux de bord pertinents. Votre aptitude à analyser les données chiffrées vous permet de produire des rapports clairs, visuellement impactant et facilement compréhensibles par un public varié.
  
 Votre maîtrise avancée des outils Microsoft Office, notamment Excel et Power BI, combinée à votre intérêt pour les solutions de gestion de données, constitue un atout essentiel. Une connaissance supplémentaire en Power Query, Python, R ou SQL serait fortement appréciée.
  
 Doté d'un sens aigu de l'organisation, d'un business sense, d'une grande proactivité et d'un esprit d'équipe affirmé, vous êtes prêt à exceller dans ce rôle.
  
 Une maîtrise de l'anglais, à l'écrit comme à l'oral, est indispensable pour ce poste.
  
 Alors rejoignez-nous !
  
 
Nature du contrat :                   Contrat à durée indéterminée
 
Rémunération :                        A déterminer
 
Localisation du poste :             Arcueil (94)
 
Démarrage :                            Asap",Études et prospectives socio-économiques,,[[0.53658784]]
Chef de projet nucléaire H/F à Decize (58) (H/F),"Démarrage : Immédiat

Responsabilités : 

- Utiliser les données clients comme point de départ pour piloter ou réaliser des études et produire des livrables documentaires.
- Valider les choix techniques en étroite collaboration avec les équipes techniques, en prenant en compte les exigences du client.
- Élaborer la démarche projet en utilisant le cycle en V, en établissant le planning et le budget correspondants.
- Diriger de bout en bout un projet neuf, depuis la phase d'étude jusqu'à la livraison, en assurant le respect des engagements en matière de coût, de délai et de sécurité.
- Piloter les jalons internes du projet tels que le Kick-Off, les revues de projet et le suivi de l'avancement.
- Assurer un management transversal en supervisant l'équipe projet, les opérationnels et les partenaires externes, tout en maintenant un suivi régulier avec le client.
- Gérer les coûts et leurs évolutions tout en veillant au respect du budget fixé, en harmonie avec les critères de coût, qualité et délai.

Profil recherché : 

- Diplôme Bac + 5 en ingénierie spécialisée ou en gestion de projet.
- Minimum de 3 ans d'expérience en tant que Chef de Projet dans un environnement similaire.
- Excellente maîtrise du Pack Office et d'outils de planification de projet.
- Connaissance approfondie du secteur nucléaire, y compris ses réglementations et exigences spécifiques.
- Compétences avérées en gestion budgétaire, capacité à élaborer, suivre et maintenir des budgets de projet.
- Niveau avancé en anglais",Management et ingénierie d'affaires,"[{'code': '100015', 'libelle': 'Normes environnementales', 'exigence': 'S'}, {'code': '121657', 'libelle': 'Négocier des solutions techniques ou financières avec un client', 'exigence': 'S'}, {'code': '300366', 'libelle': 'Recueillir et analyser les besoins client', 'exigence': 'E'}, {'code': '300488', 'libelle': 'Concevoir et gérer un projet', 'exigence': 'E'}]",[[0.53393932]]
Pmr (tetrapol) product business manager (h/f),"Description de l'emploi :Airbus Defence & Space recherche un Tetrapol Product Business Manager (f/h) pour rejoindre notre equipe PBM TETRAPOL Solutions basé à Elancourt, France.Vous ferez partie d'une équipe qui développe des équipements de Radio Communication (PMR). Au sein de PBM TETRAPOL Solutions, vous serez impliqué(e) dans la gestion du portfolio visant à fournir des solutions opérationnelles à nos clients (Ministères de l'Intérieur, de la Défense,...)Pour en savoir plus sur nos activités, regardez notre site : https://www.securelandcommunications.com/fr/solutions-reseaux-radio-tetrapolCe poste nécessite une habilitation de sécurité ou nécessite d'être éligible à une habilitation par les autorités reconnues.Vos challenges :Gérer le portfolio des solutions PMR pour les clients Tetrapol dans le monde entierParticiper à la définition du produit, la pérennité de la solution globaleDéfinir les évolutions de produits pour garantir notre capacité de livraison à long terme et nos engagements clients en lien avec les Product Owners R&D, Architectes R&D, partenaires externes et fournisseurs clésPrésenter nos solutions aux clients.Recueillir les commentaires des utilisateurs finaux et des clients.Fournir du contenu pour les supports de marketing et de vente (prix, livres blancs, brochures, guides de vente, fiches techniques)Former l'équipe de vente, les analystes commerciaux et les équipes d'appel d'offres impliqués dans les programmes de Tetrapol",Études et développement informatique,,[[0.53091042]]
Responsable du Design des Applications Produits (H/F),"Membre de l'équipe Développement PCO, l'objectif de ce nouveau rôle est de recueillir auprès du marketing, des ventes, du manager technique des produits et des solutions spécifiques les exigences en termes de flexibilité du produit/système et de piloter la conception en CAO électrique en conséquence. 
Le second objectif est d'ouvrir la voie au processus d'adaptation simple ou complexe des produits en aval, non pas pour concevoir l'application elle-même, qui reste principalement basée sur un projet, mais pour intégrer dans la conception suffisamment de flexibilité et d'informations/documents à l'appui pour permettre l'industrialisation et à l'ingénierie des solutions spécifiques de fournir ensemble la meilleure solution à nos clients. 
L'Application Design Manager définit les outils et les livrables du processus, en coordination avec l'équipe dédiée aux solutions spécifiques et les opérations industrielles, pour s'assurer que le client reçoive le bon niveau d'information sur le produit.
Vos missions principales consistent à :
-	Analyser, consolider et structurer le cahier des charges des projets de création des nouvelles offres pour adresser efficacement les différentes applications et segments de marché ;
-	Collaborer avec les opérations industrielles et le service de solutions spécifiques pour partager la structure électromécanique et les besoins structurés suite à l'analyse du cahier des charges ;
-	Contribuer à la conception électrique pour les configurations standards du produit, en soutenant et en guidant l'équipe de projet 
-	Évaluer, coordonner et proposer les processus développement pour gérer efficacement la conception électromécanique et la documentation associée ;
-	Consolider les guidelines pour l'application des produits en coordination avec le marketing, l'adaptation produits, le Business Development et les Sales.


Votre profil	

Vous disposez d'une solide expérience en gestion de projet et savez naviguer avec agilité dans un environnement complexe et incertain ; vous savez vous appuyer sur vos capacités d'analyse, de synthèse et solide expérience électrotechnique pour mener à bien les sujets.
Une formation Ingénieur électricien/électromécanique est souhaitée, avec une certaine expérience dans la construction de tableaux et la conception électromécanique. Vous avez de solides compétences dans les outils CAO Électriques. 
Vous êtes à l'écoute des besoins et contraintes des parties prenantes et êtes force de proposition.
Au regard de la dimension internationale de notre Groupe, la maîtrise de l'anglais est indispensable pour ce poste.
Vous avez envie de relever ce défi ? Alors rejoignez-nous et venez, vous aussi, contribuer au développement de Socomec, à la qualité de nos produits et services, notre performance et notre notoriété.

Référence : H-SSA-PCOP-2023-2194","Management et ingénierie études, recherche et développement industriel","[{'code': '118500', 'libelle': 'Élaborer des propositions techniques', 'exigence': 'E'}, {'code': '119161', 'libelle': ""Identifier les contraintes d'un projet"", 'exigence': 'E'}, {'code': '124529', 'libelle': ""Déterminer des axes d'évolution technologiques"", 'exigence': 'E'}, {'code': '300488', 'libelle': 'Concevoir et gérer un projet', 'exigence': 'E'}]",[[0.52947262]]
Assistant / Assistante de direction,"Forte de 13 années d'existence, Caméléon Concept, entreprise spécialisée dans la conception et l'installation de comptoirs et vitrines réfrigérées pour les secteurs de la restauration et des métiers de bouche, recherche son/sa Assistant(e) de Direction.
Sous la responsabilité conjointe du chef de projet et du dirigeant,
Vous êtes autonome, curieux(se), rigoureux(se) et organisé(e),
Vous êtes à l'aise avec l'interprétation du détail de composants techniques à présenter dans un devis d'agencement / de travaux.
L'interprétation de plans d'agencement vous est familière.
Vous aurez une capacité certaine à vous intéresser de très près à notre métier, qualité indispensable pour réussir.


Vos principales missions seront :
TRAITEMENT DES AFFAIRES :
Gestion des dossiers clients : Contacts, rédaction des devis, facturation, suivi des règlements, analyses de la rentabilité et du résultat d'affaires.
Gestion du développement des projets : Déclarations diverses, réception des offres et traitement des commandes et factures des fournisseurs et prestataires.
Organisation : Planification des opérations de transport, livraisons, installations et Service-Après-Vente.

ADMNISTRATION :

Gestion du téléphone, courriers, e-mails contacts,
Gestion du tableau de résultat dynamique,
Gestion du prévisionnel C.A. et trésorerie,
Interactions avec le service comptabilité (des connaissances en comptabilité sont vivement souhaitées),
Liste non exhaustive.


Expérience : 2 à 3 ans minimum dans une fonction proche de notre descriptif, idéalement dans le domaine des métiers de l'agencement et/ou du second œuvre du bâtiment, ce qui favoriserait amplement votre intégration et la compréhension de notre métier.


Compétences :


Capacité rédactionnelle,
Notions en comptabilité,
Maîtrise d'Excel, Word et Powerpoint,
Autonomie, agilité, vivacité  
Rémunération : Entre 32k€ et 35k€ brut annuel + primes selon le potentiel de votre profil.


Vous évoluerez dans un espace de bureaux partagé dans le 9ème arrondissement de Paris, occupé par plusieurs entreprises du domaine du design et de l'agencement.


Nous vous proposons un CDI (151h67/mois).",Assistanat de direction,,[[0.52870463]]
Assistant / Assistante de direction,"Forte de 13 années d'existence, Caméléon Concept, entreprise spécialisée dans la conception et l'installation de comptoirs et vitrines réfrigérées pour les secteurs de la restauration et des métiers de bouche, recherche son/sa Assistant(e) de Direction.
Sous la responsabilité conjointe du chef de projet et du dirigeant,
Vous êtes autonome, curieux(se), rigoureux(se) et organisé(e),
Vous êtes à l'aise avec l'interprétation du détail de composants techniques à présenter dans un devis d'agencement / de travaux.
L'interprétation de plans d'agencement vous est familière.
Vous aurez une capacité certaine à vous intéresser de très près à notre métier, qualité indispensable pour réussir.


Vos principales missions seront :
TRAITEMENT DES AFFAIRES :
Gestion des dossiers clients : Contacts, rédaction des devis, facturation, suivi des règlements, analyses de la rentabilité et du résultat d'affaires.
Gestion du développement des projets : Déclarations diverses, réception des offres et traitement des commandes et factures des fournisseurs et prestataires.
Organisation : Planification des opérations de transport, livraisons, installations et Service-Après-Vente.

ADMNISTRATION :

Gestion du téléphone, courriers, e-mails contacts,
Gestion du tableau de résultat dynamique,
Gestion du prévisionnel C.A. et trésorerie,
Interactions avec le service comptabilité (des connaissances en comptabilité sont vivement souhaitées),
Liste non exhaustive.


Expérience : 2 à 3 ans minimum dans une fonction proche de notre descriptif, idéalement dans le domaine des métiers de l'agencement et/ou du second œuvre du bâtiment, ce qui favoriserait amplement votre intégration et la compréhension de notre métier.


Compétences :


Capacité rédactionnelle,
Notions en comptabilité,
Maîtrise d'Excel, Word et Powerpoint,
Autonomie, agilité, vivacité  
Rémunération : Entre 32k€ et 35k€ brut annuel + primes selon le potentiel de votre profil.


Vous évoluerez dans un espace de bureaux partagé dans le 9ème arrondissement de Paris, occupé par plusieurs entreprises du domaine du design et de l'agencement.


Nous vous proposons un CDI (151h67/mois).",Assistanat de direction,,[[0.52870463]]
Projeteur CFO/ CFA H/F (H/F),"Description du poste

Au sein de nos équipes bureau d'études CFA/CFO, le projeteur contribue à la production d'études d'exécution, d'études avant-projet et de dossiers d'ouvrages exécutés.

Immergé dans les problématiques techniques, il doit aussi respecter un budget et assurer le rendu des livrables dans le planning établi.

Le projeteur occupe ainsi une position centrale au sein du projet, il est en relation régulière avec les conducteurs de travaux, les chargés d'affaires, les dessinateurs et le Responsable du BE.

En externe, il intervient également auprès de nos clients et sous-traitants.

Assurez le suivi opérationnel de vos affaires (relationnel, relance client, gestion technique, conformité CCTP et normes en vigueur, budgets, délais, conformité des dossiers de réponse aux AO,  ),

- Garantir le respect des cahiers des charges, des normes applicables, des règles d'ingénierie métier et des différentes chartes clients.

- Assurez la gestion des équipes en sous-traitance,

- Participer aux visites et aux réunions d'avancement des études d'exécution et représentez l'entreprise auprès des différents acteurs (clients, fournisseurs  )

- Contrôler et maintenir la qualité de nos productions (livrables, demande d'accès aux ouvrages, plans, tableaux ...)

- Gestion des notes de calculs, plans d'implantation, plans de cheminement synoptique, rédaction des procédures, études d'exécution.


Qualifications

De formation Bac+2 minimum, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience réussie dans le domaine sus-cité et idéalement à un poste similaire. Habitué(e) à un environnement exigeant, vous savez prendre des initiatives et pérenniser vos relations avec vos clients. Autonome et organisé(e), votre expertise technique et votre aisance relationnelle vous permettront de mener à bien les projets en cours dans une logique constante de satisfaction client. Vous maitrisez les logiciels de dessin et de dimensionnement d'installations électriques.

Vous maîtrisez le pack office. Permis de conduire B obligatoire.",Intervention technique en méthodes et industrialisation,"[{'code': '100038', 'libelle': 'Chiffrage/calcul de coût', 'exigence': 'S'}, {'code': '120260', 'libelle': 'Analyser un document de production', 'exigence': 'S'}, {'code': '122852', 'libelle': 'Établir un document de fabrication', 'exigence': 'S'}, {'code': '124841', 'libelle': 'Réaliser des contrôles destructifs ou non destructifs', 'exigence': 'S'}, {'code': '300146', 'libelle': 'Élaborer des processus et des modes opératoires techniques', 'exigence': 'S'}]",[[0.52209353]]
